flux,flux_err,timecorr,cadenceno,centroid_col,centroid_row,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
7098.72,9.258465,0.0037939912,730535,1306.9065344358698,1439.0611123437725,6613.328,7.7107663,1015.8181,2.4022872,7098.72,9.258465,0,,,,,1306.9065344358698,0.0008195143,1439.0611123437725,0.00083255785,-0.018369265,-0.01227434
7116.942,9.267246,0.003794023,730536,1306.9070943636536,1439.0606927481347,6627.4644,7.718079,1016.6613,2.4003773,7116.942,9.267246,0,,,,,1306.9070943636536,0.0008205143,1439.0606927481347,0.00083234353,-0.016866485,-0.011835206
7120.5327,9.263013,0.003794055,730537,1306.9081492393266,1439.0614542417206,6630.8003,7.714554,1012.83057,2.397881,7120.5327,9.263013,0,,,,,1306.9081492393266,0.0008177681,1439.0614542417206,0.00083055,-0.014375869,-0.010258214
7107.5435,9.259128,0.0037940869,730538,1306.9088228859432,1439.0623088423188,6618.333,7.711318,1016.3309,2.401918,7107.5435,9.259128,0,,,,,1306.9088228859432,0.00081950345,1439.0623088423188,0.0008323093,-0.01294534,-0.010728338
7114.2764,9.260504,0.003794119,730539,1306.9068848168797,1439.062607119879,6624.507,7.712464,1018.0621,2.3989532,7114.2764,9.260504,0,,,,,1306.9068848168797,0.0008192118,1439.062607119879,0.0008314262,-0.01503119,-0.010436117
7118.2495,9.262428,0.003794151,730540,1306.9066691289688,1439.0620653120977,6630.0894,7.714067,1013.5121,2.398529,7118.2495,9.262428,0,,,,,1306.9066691289688,0.0008191186,1439.0620653120977,0.00083031534,-0.014249661,-0.010891897
7114.963,9.26047,0.0037941828,730541,1306.9083208465752,1439.0632264531519,6627.19,7.712436,1015.4118,2.3971746,7114.963,9.26047,0,,,,,1306.9083208465752,0.00081765716,1439.0632264531519,0.0008302354,-0.0140552195,-0.008763721
7106.4854,9.257578,0.0037942147,730542,1306.9092909548185,1439.0622571477422,6619.4565,7.710027,1018.40216,2.399036,7106.4854,9.257578,0,,,,,1306.9092909548185,0.0008183071,1439.0622571477422,0.0008313274,-0.012266358,-0.009873171
7111.8765,9.2662115,0.0037942466,730543,1306.9092714693256,1439.0632227553133,6619.813,7.717218,1017.64716,2.404107,7111.8765,9.2662115,0,,,,,1306.9092714693256,0.00081984367,1439.0632227553133,0.0008324979,-0.014072741,-0.009549103
7129.794,9.271179,0.0037942785,730544,1306.905400277678,1439.0615606309793,6640.8315,7.721355,1016.39215,2.4060311,7129.794,9.271179,0,,,,,1306.905400277678,0.00081677624,1439.0615606309793,0.00082941126,-0.016208187,-0.01231992
7108.671,9.262558,0.0037943104,730545,1306.9070246805659,1439.0620650520136,6623.062,7.7141747,1018.73755,2.4023192,7108.671,9.262558,0,,,,,1306.9070246805659,0.0008182943,1439.0620650520136,0.0008312688,-0.015456266,-0.01168045
7113.961,9.263501,0.0037943423,730546,1306.9051885344948,1439.0625204712205,6626.7383,7.714961,1016.2132,2.400346,7113.961,9.263501,0,,,,,1306.9051885344948,0.0008191474,1439.0625204712205,0.0008301414,-0.015105072,-0.01209778
7102.714,9.255849,0.0037943742,730547,1306.9059570033799,1439.0631828416354,6614.4224,7.7085876,1017.64844,2.4012132,7102.714,9.255849,0,,,,,1306.9059570033799,0.0008187259,1439.0631828416354,0.000831904,-0.017989269,-0.009200199
7134.2725,9.270146,0.003794406,730548,1306.9086158066564,1439.0610513151782,6644.723,7.7204943,1015.225,2.4013772,7134.2725,9.270146,0,,,,,1306.9086158066564,0.0008171936,1439.0610513151782,0.00082927034,-0.014975163,-0.013264851
7125.6646,9.264896,0.003794438,730549,1306.9055205361205,1439.060545515092,6637.633,7.716122,1015.84607,2.39868,7125.6646,9.264896,0,,,,,1306.9055205361205,0.0008179906,1439.060545515092,0.00082894106,-0.016734438,-0.013072119
